18:55:41 [Test worker] INFO  manager.ApplicationManager - Tests starts on FireFox Driver
18:56:04 [Test worker] INFO  test.TestBase - Start test -->searchTestYear
18:56:04 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: city
18:56:04 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: citywas found
18:56:05 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: div.pac-item
18:56:07 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: div.pac-itemwas found
18:56:09 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: dates
18:56:09 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: dateswas found
18:56:12 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[@aria-label='Next month']
18:56:12 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[@aria-label='Next month']was found
18:56:13 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[@aria-label='Next month']
18:56:13 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[@aria-label='Next month']was found
18:56:14 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //div[.=' 25 ']
18:56:14 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //div[.=' 25 ']was found
18:56:15 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[@aria-label='Next month']
18:56:15 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[@aria-label='Next month']was found
18:56:16 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[@aria-label='Next month']
18:56:16 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[@aria-label='Next month']was found
18:56:17 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //div[.=' 25 ']
18:56:17 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //div[.=' 25 ']was found
18:56:23 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //div[@class='header']//a[@class='logo']
18:56:23 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //div[@class='header']//a[@class='logo']was found
18:56:27 [Test worker] INFO  test.TestBase - **********************************
