20:21:28 [Test worker] INFO  manager.ApplicationManager - Tests starts on FireFox Driver
20:21:49 [Test worker] INFO  test.TestBase - Start test -->searchTestYear
20:21:49 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: city
20:21:49 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: citywas found
20:21:50 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: div.pac-item
20:21:51 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: div.pac-itemwas found
20:21:53 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: dates
20:21:53 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: dateswas found
20:21:54 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[@aria-label='Next month']
20:21:54 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[@aria-label='Next month']was found
20:21:55 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[@aria-label='Next month']
20:21:55 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[@aria-label='Next month']was found
20:21:56 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //div[.=' 25 ']
20:21:56 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //div[.=' 25 ']was found
20:21:57 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[@aria-label='Next month']
20:21:57 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[@aria-label='Next month']was found
20:21:58 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[@aria-label='Next month']
20:21:58 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[@aria-label='Next month']was found
20:21:58 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //div[.=' 25 ']
20:21:58 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //div[.=' 25 ']was found
20:22:04 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //div[@class='header']//a[@class='logo']
20:22:04 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //div[@class='header']//a[@class='logo']was found
20:22:08 [Test worker] INFO  test.TestBase - **********************************
