19:54:11 [Test worker] INFO  manager.ApplicationManager - Tests starts on FireFox Driver
19:54:23 [Test worker] INFO  test.TestBase - Start test -->searchTest
19:54:23 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: city
19:54:23 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: citywas found
19:54:24 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: div.pac-item
19:54:25 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: div.pac-itemwas found
19:54:26 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: dates
19:54:26 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: dateswas found
19:54:27 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[@aria-label='Next month']
19:54:27 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[@aria-label='Next month']was found
19:54:28 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //div[.=' 25 ']
19:54:28 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //div[.=' 25 ']was found
19:54:28 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //div[.=' 26 ']
19:54:28 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //div[.=' 26 ']was found
19:54:29 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: button[type='submit']
19:54:29 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: button[type='submit']was found
19:54:30 [Test worker] INFO  test.TestBase - **********************************
