22:04:47 [Test worker] INFO  manager.ApplicationManager - Tests starts on FireFox Driver
22:05:03 [Test worker] INFO  manager.ApplicationManager - Navigate to link ---> https://ilcarro.xyz/search
22:05:03 [Test worker] INFO  test.TestBase - Start test -->test
22:05:03 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Log in ']
22:05:03 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Log in ']was found
22:05:04 [Test worker] INFO  manager.NgListener - Start of test --->test
22:05:04 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Log in ']
22:05:04 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Log in ']was found
22:05:05 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: email
22:05:05 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: emailwas found
22:05:07 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: password
22:05:07 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: passwordwas found
22:05:08 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [type='submit']
22:05:08 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [type='submit']was found
22:05:09 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Ok']
22:05:11 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Ok']was found
22:05:11 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Ok']
22:05:11 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Ok']was found
22:05:11 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //div[@class='dialog-container']
22:05:20 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //div[@class='dialog-container']was found
22:05:20 [Test worker] INFO  manager.NgListener - Success test --->java.lang.AssertionError: expected [true] but found [false]
22:05:20 [Test worker] INFO  test.TestBase - **********************************
22:05:20 [Test worker] INFO  test.TestBase - Start test -->test
22:05:20 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Log in ']
22:05:28 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Log in ']was found
22:05:28 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Logout ']
22:05:28 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Logout ']was found
22:05:30 [Test worker] INFO  manager.NgListener - Start of test --->test
22:05:30 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Log in ']
22:05:30 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Log in ']was found
22:05:31 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: email
22:05:31 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: emailwas found
22:05:35 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: password
22:05:36 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: passwordwas found
22:05:47 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [type='submit']
22:05:48 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [type='submit']was found
22:05:54 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Ok']
22:05:56 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Ok']was found
22:05:56 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Ok']
22:05:56 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Ok']was found
22:05:57 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //div[@class='dialog-container']
22:06:06 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //div[@class='dialog-container']was found
22:06:06 [Test worker] INFO  manager.NgListener - Success test --->java.lang.AssertionError: expected [true] but found [false]
22:06:06 [Test worker] INFO  test.TestBase - **********************************
