21:10:15 [Test worker] INFO  manager.ApplicationManager - Tests starts on FireFox Driver
21:10:28 [Test worker] INFO  manager.ApplicationManager - Navigate to link ---> https://ilcarro.xyz/search
21:10:29 [Test worker] INFO  test.TestBase - Start test -->addNewTestPositive
21:10:29 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Log in ']
21:10:29 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Log in ']was found
21:10:29 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Log in ']
21:10:29 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Log in ']was found
21:10:30 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: email
21:10:30 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: emailwas found
21:10:31 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: password
21:10:31 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: passwordwas found
21:10:32 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [type='submit']
21:10:32 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [type='submit']was found
21:10:33 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Ok']
21:10:34 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Ok']was found
21:10:34 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Ok']
21:10:34 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Ok']was found
21:10:35 [Test worker] INFO  manager.NgListener - Start of test --->addNewTestPositive
21:10:35 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: 1
21:10:35 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: 1was found
21:10:37 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: h2
21:10:37 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: h2was found
21:10:37 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: pickUpPlace
21:10:37 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: pickUpPlacewas found
21:10:38 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: div.pac-item
21:10:39 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: div.pac-itemwas found
21:10:40 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: make
21:10:40 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: makewas found
21:10:41 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: model
21:10:41 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: modelwas found
21:10:41 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: year
21:10:41 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: yearwas found
21:10:43 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: engine
21:10:43 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: enginewas found
21:10:43 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: fuel
21:10:43 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: fuelwas found
21:10:43 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: .//option[@value = "Hybrid"]
21:10:43 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: .//option[@value = "Hybrid"]was found
21:10:44 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: gear
21:10:44 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: gearwas found
21:10:44 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: .//option[@value = "MT"]
21:10:44 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: .//option[@value = "MT"]was found
21:10:44 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: wheelsDrive
21:10:44 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: wheelsDrivewas found
21:10:44 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: .//option[@value = "AWD"]
21:10:44 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: .//option[@value = "AWD"]was found
21:10:45 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: doors
21:10:45 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: doorswas found
21:10:45 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: seats
21:10:45 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: seatswas found
21:10:45 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: class
21:10:46 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: classwas found
21:10:46 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: fuelConsumption
21:10:46 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: fuelConsumptionwas found
21:10:46 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: serialNumber
21:10:46 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: serialNumberwas found
21:10:47 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: price
21:10:47 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: pricewas found
21:10:47 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: distance
21:10:47 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: distancewas found
21:10:48 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: .feature-input
21:10:48 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: .feature-inputwas found
21:10:48 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: about
21:10:48 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: aboutwas found
21:10:49 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: photos
21:10:49 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: photoswas found
21:10:49 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [type='submit']
21:10:49 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [type='submit']was found
21:10:53 [Test worker] INFO  manager.MyListener - start search element by locator --->By.className: dialog-container
21:10:55 [Test worker] INFO  manager.MyListener - The element with locator ---> By.className: dialog-containerwas found
21:10:55 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: .dialog-container h1
21:10:55 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: .dialog-container h1was found
21:10:55 [Test worker] INFO  manager.NgListener - Success test --->addNewTestPositive
21:10:55 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[.='Search cars']
21:10:55 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[.='Search cars']was found
21:10:56 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Logout ']
21:10:56 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Logout ']was found
21:10:57 [Test worker] INFO  test.TestBase - **********************************
21:10:57 [Test worker] INFO  test.TestBase - Start test -->addNewTestPositive1
21:10:57 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Log in ']
21:10:57 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Log in ']was found
