22:08:06 [Test worker] INFO  manager.ApplicationManager - Tests starts on FireFox Driver
22:08:20 [Test worker] INFO  manager.ApplicationManager - Navigate to link ---> https://ilcarro.xyz/search
22:08:21 [Test worker] INFO  test.TestBase - Start test -->addNewTestPositive
22:08:21 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Log in ']
22:08:21 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Log in ']was found
22:08:21 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Log in ']
22:08:21 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Log in ']was found
22:08:22 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: email
22:08:22 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: emailwas found
22:08:24 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: password
22:08:24 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: passwordwas found
22:08:25 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [type='submit']
22:08:25 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [type='submit']was found
22:08:26 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Ok']
22:08:26 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Ok']was found
22:08:26 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Ok']
22:08:27 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Ok']was found
22:08:28 [Test worker] INFO  manager.NgListener - Start of test --->addNewTestPositive
22:08:28 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: 1
22:08:28 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: 1was found
22:08:29 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: h2
22:08:29 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: h2was found
22:08:29 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: pickUpPlace
22:08:29 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: pickUpPlacewas found
